YEAR,HH,NEWHH,MISSINGHH,necessary_units,available_units,underproduction
2000,1656640,1656640,6.0822458181064576e-12,1743831.5789473685,1730763,13068.578947368478
2001,1759996,NA,NA,NA,1836317,NA
2002,1777348,NA,NA,NA,1897894,NA
2003,1800546,NA,NA,NA,1947974,NA
2004,1837352,NA,NA,NA,1974748,NA
2005,1852775,1858776.4540152787,6001.454015278712,1956606.7937002936,1958118,-1511.2062997064713
2006,1849895,1873528.9834490472,23633.983449047075,1972135.7720516282,1996227,-24091.227948371416
2007,1861196,1899396.6490469247,38200.64904692448,1999364.893733605,2027320,-27955.10626639513
2008,1898642,1933188.8563412954,34546.85634129539,2034935.6382539952,2046804,-11868.361746004666
2009,1910173,1953396.2795303988,43223.279530398584,2056206.6100319985,2056896,-689.3899680013637
2010,1960642,1991331.4556743177,30689.455674317396,2096138.3743940182,2097010,-871.6256059816733
2011,1975400,2021353.0616351184,45953.061635118465,2127740.0648790724,2105314,22426.064879072146
2012,1996107,2057289.6568761328,61182.65687613288,2165568.0598696135,2114040,51528.05986961351
2013,2002731,2077784.3307317244,75053.33073172446,2187141.4007702363,2122707,64434.40077023638
2014,2039600,2119366.91001011,79766.91001011003,2230912.5368527477,2160243,70669.53685274754
2015,2074731,2161221.948008771,86490.94800877127,2274970.4715881804,2188182,86788.47158818043
2016,2109050,2204724.0078798626,95674.00787986242,2320762.11355775,2218621,102141.1135577501
2017,2139167,2249435.8809529,110268.88095289985,2367827.243108316,2256662,111165.24310831584
2018,2176768,2283886.981852269,107118.98185226868,2404091.5598444934,2299511,104580.55984449347
2019,2235163,2341207.823083849,106044.82308384929,2464429.287456684,2347542,116887.28745668368
2020,2205583,2350840.912578701,145257.91257870087,2474569.381661791,2312243,162326.3816617907
2021,2313012,2383074.423329981,70062.42332998135,2508499.3929789276,2424861,83638.39297892769
2022,2384564,2436778.287601176,52214.28760117584,2565029.7764222906,2492136,72893.7764222904
2023,2428261,2461685.3404381606,33424.34043816046,2591247.726777011,2535792,55455.72677701122
